id,Edificio,P1a,P1b,P2,P3,P4,P5a,P5b,P5c,P5d,P6,P7,P8,P9,P10a,P10b,P10c,P10d,P11,P12,P13,P14,P15,P16
187,7,2,3,3,3,3,1,2,0,3,3,3,3,3,3,3,2,2,3,4,3,3,2,2
188,7,3,3,3,3,3,3,3,1,1,3,3,3,3,2,2,2,2,3,4,3,3,2,2
189,7,2,3,2,3,1,2,1,2,1,3,3,2,3,3,2,3,3,1,2,2,3,2,2
190,7,3,3,2,2,1,2,2,3,3,3,3,2,1,2,2,2,2,3,3,2,1,1,2
191,7,1,3,3,2,1,3,3,1,1,3,3,2,2,2,2,1,1,2,3,3,3,2,2
192,7,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3,3,3,2,2
193,7,3,1,3,1,3,2,1,3,3,1,1,1,2,3,3,2,3,3,3,1,1,2,2
194,7,3,3,3,3,1,3,3,0,1,3,3,3,2,3,3,3,3,3,3,3,3,2,2
195,7,2,0,1,2,0,2,2,3,1,2,2,3,2,2,2,3,3,3,3,3,3,2,2
196,7,2,3,2,2,0,1,3,2,2,2,0,3,1,1,1,2,2,3,4,2,1,2,2
197,7,2,3,2,3,3,2,2,3,2,3,3,2,3,2,2,2,3,2,3,2,3,2,2
198,7,2,1,1,1,1,2,2,3,2,2,3,3,3,2,2,3,3,3,3,2,1,2,2
199,7,2,3,1,1,1,2,2,2,1,3,2,3,1,1,1,1,2,3,4,3,3,1,2
200,7,1,3,1,3,3,3,3,3,1,3,3,3,1,1,3,3,3,3,3,3,3,2,2
201,7,3,3,2,2,0,2,3,3,1,3,3,3,3,2,2,3,3,3,4,3,3,2,2
202,7,3,3,2,2,3,2,3,3,2,3,3,3,1,2,1,3,3,3,4,3,1,2,2
203,7,1,1,1,1,1,1,1,0,3,1,2,1,1,2,1,1,1,2,3,1,2,2,1
204,7,2,1,2,2,0,2,2,3,1,3,3,2,2,2,2,3,3,3,3,2,3,2,2
205,7,3,3,3,3,1,3,3,2,1,3,3,3,2,3,3,3,3,3,4,3,3,2,2
206,7,3,3,2,3,3,2,3,1,2,2,3,3,2,1,2,3,2,3,3,2,1,2,2
207,7,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2
208,7,3,3,2,3,1,3,2,1,1,3,3,3,3,3,3,2,2,3,4,3,1,2,2
209,7,1,1,2,2,0,2,2,0,0,3,3,2,2,1,2,2,3,3,4,2,1,2,2
210,7,1,0,2,2,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,2,3,2,2
211,7,2,3,2,3,3,2,3,1,2,3,3,3,2,1,2,2,2,3,3,3,3,2,2
212,7,3,3,3,3,3,3,3,3,2,3,3,3,2,1,2,1,1,3,3,3,3,2,2
213,7,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,2,2
214,7,3,3,2,2,3,2,3,3,1,3,3,3,0,0,0,0,0,3,3,3,1,2,2
215,7,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,1,3,4,3,3,2,2
216,7,2,0,2,2,1,2,3,2,2,3,3,3,3,2,2,2,3,2,4,2,3,2,2
217,7,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,3,4,3,3,2,2
218,7,3,3,3,2,3,2,3,2,1,2,2,2,3,0,3,3,2,3,4,3,3,2,2
219,7,3,1,3,2,1,3,2,3,3,2,1,2,2,3,2,2,1,3,3,2,3,2,2
220,7,3,3,3,3,3,2,3,2,2,2,3,3,1,0,0,0,0,3,3,3,3,2,2
221,7,2,0,1,1,1,2,2,2,3,1,2,0,0,0,0,0,0,3,3,2,1,2,2
222,7,3,3,3,2,0,2,2,2,1,3,2,3,0,0,0,0,0,3,3,3,3,2,2
223,7,1,0,3,2,1,1,1,3,3,3,2,2,0,0,0,0,0,3,3,2,3,2,2
224,7,2,3,2,3,3,2,2,1,1,2,3,2,1,1,1,2,1,3,3,3,1,2,2
225,7,2,1,1,3,3,2,2,2,2,2,1,1,0,0,0,0,0,3,3,2,1,2,2
226,7,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,1,1,3,4,3,3,2,2
227,7,3,3,3,3,3,1,2,2,2,3,3,0,0,1,1,1,1,3,3,2,3,2,2
228,7,3,1,1,3,1,3,1,2,1,3,2,3,3,3,3,2,2,3,4,3,2,2,2
229,7,2,3,4,1,1,3,3,3,3,3,3,2,1,2,2,2,1,3,3,3,1,2,2
230,6,2,0,2,2,1,2,2,3,1,3,2,3,3,2,2,2,3,3,3,2,2,2,2
231,3,3,3,1,3,3,2,3,2,2,2,3,3,3,1,3,1,1,2,3,3,1,2,2
232,3,3,3,3,3,3,2,3,1,1,3,2,3,2,1,2,2,3,3,4,3,1,2,2
233,3,2,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,3,3,1,1,2,2
234,3,1,1,2,3,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,1,2,2
235,3,3,3,1,3,1,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,1,2,2
236,3,1,1,1,1,1,1,0,0,2,1,1,2,1,1,2,1,2,1,4,2,2,2,2
237,3,1,1,1,2,3,1,0,0,0,2,2,1,2,0,1,0,0,3,3,3,1,2,2
238,5,1,1,1,2,1,2,2,2,2,1,3,2,1,1,1,1,1,3,3,2,1,2,2
239,5,1,0,1,1,0,1,2,0,3,1,1,2,2,1,2,1,1,3,4,1,1,1,0
240,5,1,1,1,1,1,1,1,3,3,1,1,1,1,0,1,0,0,1,2,1,1,2,1
241,5,2,1,1,1,0,0,0,2,0,1,2,2,1,1,0,0,0,1,2,1,2,1,1
242,5,1,3,1,1,1,1,1,0,0,2,2,1,1,1,1,1,1,2,2,2,1,1,1
243,2,3,3,2,2,0,0,0,1,0,2,3,3,3,3,0,0,0,3,3,3,2,2,2
244,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2
245,2,3,3,2,3,3,3,3,2,2,0,2,2,1,1,1,2,1,1,3,2,3,2,2
246,2,1,1,1,1,1,2,1,3,3,1,1,0,1,1,1,2,1,3,3,3,1,2,2
247,1,2,0,2,2,0,2,2,3,2,2,2,2,1,1,1,2,2,2,3,2,1,2,2
248,1,2,3,2,3,3,3,2,2,2,3,3,2,1,1,1,2,2,3,3,3,1,2,2
249,1,1,1,1,1,1,1,1,0,0,2,2,2,1,1,1,0,0,2,3,1,1,2,1
250,1,3,3,1,1,1,3,2,2,3,2,2,2,1,1,1,3,3,3,3,3,1,2,2
251,1,1,1,1,1,1,1,1,3,3,1,1,3,3,3,3,3,3,3,3,1,1,1,2
